admissionid,patientid,doctorid,hospitalid,admissiondate,dischargedate,diagnosis,department,admissiondays,stay_category
ADM-000001,839-42-5034,DR-0115,HOSP-007,2023-01-22,2023-01-27,Lung Cancer,Oncology,5,Medium Treatment
ADM-000002,536-12-9397,DR-0314,HOSP-003,2022-08-11,2022-08-13,Coronary Artery Disease,Cardiology,2,Short Treatment
ADM-000003,545-47-8876,DR-0115,HOSP-007,2022-09-19,2022-10-04,Lymphoma,Oncology,15,Long Treatment
ADM-000004,107-58-7881,DR-0110,HOSP-008,2023-02-18,2023-03-07,Dengue,General Medicine,17,Long Treatment
ADM-000005,436-69-9518,DR-0121,HOSP-008,2022-12-11,2023-01-04,Melanoma,Dermatology,24,Long Treatment
ADM-000006,876-15-7626,DR-0092,HOSP-009,2022-07-22,2022-07-31,PCOS,Gynecology,9,Medium Treatment
ADM-000007,936-52-2021,DR-0182,HOSP-009,2024-03-28,2024-04-06,Measles,Pediatrics,9,Medium Treatment
ADM-000008,420-36-2183,DR-0009,HOSP-005,2023-06-03,2023-06-08,Melanoma,Dermatology,5,Medium Treatment
ADM-000009,106-20-3881,DR-0034,HOSP-010,2022-09-22,2022-10-05,Lung Cancer,Oncology,13,Medium Treatment
ADM-000010,713-69-3678,DR-0060,HOSP-005,2024-05-18,2024-06-03,Migraine,Neurology,16,Long Treatment
ADM-000011,245-88-7478,DR-0283,HOSP-002,2022-09-12,2022-09-20,Depression,Psychiatry,8,Medium Treatment
ADM-000012,132-86-6492,DR-0250,HOSP-008,2022-02-12,2022-02-20,Stroke,Neurology,8,Medium Treatment
ADM-000013,869-63-8121,DR-0025,HOSP-003,2022-10-06,2022-10-21,Leukemia,Oncology,15,Long Treatment
ADM-000014,552-99-8549,DR-0106,HOSP-001,2023-01-26,2023-02-17,Ligament Tear,Orthopedics,22,Long Treatment
ADM-000015,687-17-9701,DR-0083,HOSP-005,2024-04-11,2024-04-16,Chickenpox,Pediatrics,5,Medium Treatment
ADM-000016,887-22-9456,DR-0250,HOSP-008,2022-10-19,2022-11-09,Migraine,Neurology,21,Long Treatment
