doctorid,hospitalid,firstname,specialty,yearsofexperience
DR-0001,HOSP-002,Dr. Kavya,Oncology,33.0
DR-0002,HOSP-004,Dr. Rohan,Neurology,22.0
DR-0003,HOSP-001,Dr. Riya,Dermatology,33.0
DR-0004,HOSP-010,Dr. Neha,Oncology,31.0
DR-0005,HOSP-010,Dr. Isha,Neurology,33.0
DR-0006,HOSP-007,Dr. Rahul,Cardiology,29.0
DR-0007,HOSP-003,Dr. Divya,Psychiatry,28.0
DR-0008,HOSP-002,Dr. Vivaan,Pediatrics,33.0
DR-0009,HOSP-005,Dr. Simran,Dermatology,3.0
DR-0010,HOSP-007,Dr. Sneha,Neurology,23.0
DR-0011,HOSP-001,Dr. Aarav,Psychiatry,25.0
DR-0012,HOSP-001,Dr. Tanya,Dermatology,22.0
DR-0013,HOSP-010,Dr. Ananya,Neurology,33.0
DR-0014,HOSP-008,Dr. Anjali,Psychiatry,33.0
DR-0015,HOSP-005,Dr. Diya,Dermatology,13.0
DR-0016,HOSP-008,Dr. Sneha,Neurology,22.0
DR-0017,HOSP-003,Dr. Sanjay,Oncology,23.0
DR-0018,HOSP-002,Dr. Divya,General Medicine,33.0
DR-0019,HOSP-007,Dr. Swati,Neurology,19.0
DR-0020,HOSP-006,Dr. Yash,Dermatology,21.0
DR-0021,HOSP-004,Dr. Shruti,Cardiology,8.0
DR-0022,HOSP-007,Dr. Isha,Dermatology,9.0
DR-0023,HOSP-009,Dr. Avni,Oncology,25.0
DR-0024,HOSP-009,Dr. Anjali,Psychiatry,12.0
DR-0025,HOSP-003,Dr. Raj,Oncology,18.0
DR-0026,HOSP-001,Dr. Tarun,Cardiology,33.0
DR-0027,HOSP-004,Dr. Kabir,General Medicine,27.0
DR-0028,HOSP-010,Dr. Priya,Gynecology,19.0
DR-0029,HOSP-001,Dr. Arjun,Pediatrics,33.0
DR-0030,HOSP-007,Dr. Vikram,Pediatrics,5.0
DR-0031,HOSP-002,Dr. Rishabh,Orthopedics,31.0
DR-0032,HOSP-008,Dr. Vivaan,Dermatology,11.0
DR-0033,HOSP-005,Dr. Simran,General Medicine,10.0
DR-0034,HOSP-010,Dr. Sara,Oncology,12.0
DR-0035,HOSP-001,Dr. Kunal,Orthopedics,7.0
DR-0036,HOSP-002,Dr. Tanya,Cardiology,33.0
DR-0037,HOSP-004,Dr. Priya,Dermatology,33.0
DR-0038,HOSP-003,Dr. Aditya,Dermatology,28.0
DR-0039,HOSP-005,Dr. Dhruv,Gynecology,16.0
DR-0040,HOSP-004,Dr. Sanjay,Gynecology,21.0
DR-0041,HOSP-002,Dr. Sneha,Pediatrics,28.0
DR-0042,HOSP-009,Dr. Simran,Oncology,18.0
DR-0043,HOSP-007,Dr. Sanjay,Oncology,33.0
DR-0044,HOSP-005,Dr. Aarav,Dermatology,33.0
DR-0045,HOSP-004,Dr. Rahul,Cardiology,26.0
DR-0046,HOSP-010,Dr. Aadhya,Oncology,32.0
DR-0047,HOSP-005,Dr. Manish,Neurology,33.0
DR-0048,HOSP-002,Dr. Aryan,General Medicine,10.0
DR-0049,HOSP-008,Dr. Aryan,Psychiatry,1.0
DR-0050,HOSP-002,Dr. Meera,Cardiology,28.0
DR-0051,HOSP-008,Dr. Ananya,Oncology,1.0
DR-0052,HOSP-005,Dr. Geeta,Psychiatry,33.0
DR-0053,HOSP-004,Dr. Rishabh,General Medicine,23.0
DR-0054,HOSP-007,Dr. Aarti,General Medicine,14.0
